order_item_id,order_id,product_id,quantity,unit_price,line_total
OI000001,ORD000001,PROD0018,1,1959,1959
OI000002,ORD000002,PROD0034,1,629,629
OI000003,ORD000003,PROD0034,1,629,629
OI000004,ORD000003,PROD0004,1,1199,1199
OI000005,ORD000004,PROD0010,1,2449,2449
OI000006,ORD000004,PROD0017,1,3049,3049
OI000007,ORD000004,PROD0004,1,1199,1199
OI000008,ORD000005,PROD0016,2,309,618
OI000009,ORD000005,PROD0036,1,129,129
OI000010,ORD000006,PROD0007,1,4319,4319
OI000011,ORD000007,PROD0007,1,4319,4319
OI000012,ORD000007,PROD0022,1,1659,1659
OI000013,ORD000008,PROD0009,1,1599,1599
OI000014,ORD000008,PROD0001,1,4529,4529
OI000015,ORD000009,PROD0012,1,989,989
OI000016,ORD000009,PROD0031,1,1129,1129
OI000017,ORD000010,PROD0034,1,629,629
OI000018,ORD000011,PROD0038,1,459,459
OI000019,ORD000011,PROD0016,1,309,309
OI000020,ORD000011,PROD0034,1,629,629
OI000021,ORD000012,PROD0035,1,69,69
OI000022,ORD000013,PROD0021,2,549,1098
OI000023,ORD000013,PROD0014,2,2179,4358
OI000024,ORD000014,PROD0005,3,4119,12357
OI000025,ORD000015,PROD0010,1,2449,2449
OI000026,ORD000016,PROD0034,1,629,629
OI000027,ORD000016,PROD0028,1,569,569
OI000028,ORD000016,PROD0008,3,4749,14247
OI000029,ORD000017,PROD0024,1,889,889
OI000030,ORD000017,PROD0013,1,549,549
OI000031,ORD000018,PROD0003,2,2559,5118
OI000032,ORD000019,PROD0031,1,1129,1129
OI000033,ORD000019,PROD0006,1,3799,3799
OI000034,ORD000019,PROD0007,1,4319,4319
OI000035,ORD000020,PROD0034,1,629,629
OI000036,ORD000021,PROD0023,1,2179,2179
OI000037,ORD000021,PROD0009,1,1599,1599
OI000038,ORD000022,PROD0035,1,69,69
OI000039,ORD000023,PROD0005,1,4119,4119
OI000040,ORD000023,PROD0028,1,569,569
OI000041,ORD000024,PROD0013,1,549,549
OI000042,ORD000024,PROD0036,1,129,129
OI000043,ORD000025,PROD0024,1,889,889
OI000044,ORD000025,PROD0017,1,3049,3049
OI000045,ORD000025,PROD0009,1,1599,1599
OI000046,ORD000025,PROD0034,1,629,629
OI000047,ORD000026,PROD0002,1,3029,3029
OI000048,ORD000027,PROD0027,1,399,399
OI000049,ORD000027,PROD0018,1,1959,1959
OI000050,ORD000028,PROD0006,1,3799,3799
OI000051,ORD000029,PROD0005,1,4119,4119
OI000052,ORD000030,PROD0008,1,4749,4749
OI000053,ORD000030,PROD0003,1,2559,2559
OI000054,ORD000031,PROD0010,2,2449,4898
OI000055,ORD000032,PROD0027,1,399,399
OI000056,ORD000033,PROD0020,1,1939,1939
OI000057,ORD000034,PROD0038,1,459,459
OI000058,ORD000035,PROD0019,1,2469,2469
OI000059,ORD000035,PROD0011,1,2119,2119
OI000060,ORD000036,PROD0001,1,4529,4529
OI000061,ORD000036,PROD0021,1,549,549
OI000062,ORD000037,PROD0016,1,309,309
OI000063,ORD000038,PROD0031,1,1129,1129
OI000064,ORD000039,PROD0037,1,189,189
OI000065,ORD000040,PROD0010,1,2449,2449
OI000066,ORD000041,PROD0007,1,4319,4319
OI000067,ORD000042,PROD0002,1,3029,3029
OI000068,ORD000042,PROD0003,1,2559,2559
OI000069,ORD000042,PROD0028,1,569,569
OI000070,ORD000043,PROD0015,1,879,879
OI000071,ORD000043,PROD0017,1,3049,3049
OI000072,ORD000044,PROD0014,2,2179,4358
OI000073,ORD000044,PROD0006,1,3799,3799
OI000074,ORD000045,PROD0008,1,4749,4749
OI000075,ORD000045,PROD0027,1,399,399
OI000076,ORD000045,PROD0009,1,1599,1599
OI000077,ORD000046,PROD0006,1,3799,3799
OI000078,ORD000047,PROD0024,2,889,1778
OI000079,ORD000048,PROD0001,1,4529,4529
OI000080,ORD000048,PROD0016,1,309,309
OI000081,ORD000049,PROD0009,1,1599,1599
OI000082,ORD000050,PROD0004,1,1199,1199
OI000083,ORD000051,PROD0011,1,2119,2119
OI000084,ORD000051,PROD0036,1,129,129
OI000085,ORD000052,PROD0024,3,889,2667
OI000086,ORD000052,PROD0020,1,1939,1939
OI000087,ORD000052,PROD0022,1,1659,1659
OI000088,ORD000052,PROD0026,1,319,319
OI000089,ORD000053,PROD0020,1,1939,1939
OI000090,ORD000053,PROD0038,1,459,459
OI000091,ORD000053,PROD0034,1,629,629
OI000092,ORD000053,PROD0011,1,2119,2119
OI000093,ORD000054,PROD0004,2,1199,2398
OI000094,ORD000055,PROD0019,1,2469,2469
OI000095,ORD000055,PROD0028,1,569,569
OI000096,ORD000056,PROD0031,2,1129,2258
OI000097,ORD000057,PROD0033,1,2249,2249
OI000098,ORD000058,PROD0001,1,4529,4529
OI000099,ORD000059,PROD0015,1,879,879
OI000100,ORD000059,PROD0001,1,4529,4529
OI000101,ORD000060,PROD0019,1,2469,2469
OI000102,ORD000061,PROD0033,3,2249,6747
OI000103,ORD000062,PROD0036,1,129,129
OI000104,ORD000063,PROD0007,1,4319,4319
OI000105,ORD000064,PROD0027,1,399,399
OI000106,ORD000065,PROD0016,1,309,309
OI000107,ORD000066,PROD0030,1,2669,2669
OI000108,ORD000066,PROD0029,1,509,509
OI000109,ORD000066,PROD0022,3,1659,4977
